前後端,模組,zh-TW,zh-CN,en
後端,溫盤模組相關,"(Z)-HFC-1234ze，(順)1,3,3,3-四氟 1-丙烯，CF3CH=CHF(Z)","(Z)-HFC-1234ze，(顺)1,3,3,3-四氟 1-丙烯，CF3CH=CHF(Z)",(Z)-CF3CH=CHF
後端,環境部設備原燃物料細項,"(Z)-HFC-1234ze，(順)1,3,3,3-四氟 1-丙烯，CF3CH=CHF(Z)","(Z)-HFC-1234ze，(顺)1,3,3,3-四氟 1-丙烯，CF3CH=CHF(Z)","(Z)-HFC-1234ze, (cis)1,3,3,3-tetrafluoro-1-propene, CF3CH=CHF(Z)"
後端,供應鏈分析,「活動係數」,「活动系数」,“emission factor”
後端,帳號相關,※本郵件通知由系統自動發送，請勿直接回信，<br>如有其他服務需求，請洽系統管理員。<br>聯絡電話：(02)2351-9199<br>電子信箱：esgservice@chase.com.tw,※本邮件通知由系统自动发送，请勿直接回信，<br>如有其他服务需求，请洽系统管理员。 <br>联络电话：(02)2351-9199<br>电子信箱：esgservice@chase.com.tw,"※This notification is automatically generated by the system. Please do not reply.<br> If other services are required, please contact the system administrator.<br>Contact phone: (02)2351-9199<br>Email: esgservice@chase.com.tw"
後端,登入相關,※本郵件通知由系統自動發送，請勿直接回信，<br>如有其他服務需求，請洽系統管理員。<br>聯絡電話：(02)2351-9199<br>電子信箱：esgservice@chase.com.tw,※本邮件通知由系统自动发送，请勿直接回信，<br>如有其他服务需求，请洽系统管理员。<br>联络电话：(02)2351-9199<br>电子信箱：esgservice@chase.com.tw,"※This notification is automatically generated by the system. Please do not reply.<br>If other services are required, please contact the system administrator.<br>Contact phone: (02)2351-9199<br>Email: esgservice@chase.com.tw"
後端,權限相關,API介接說明,API介接说明,API directions
後端,鑑別準則相關,API介接說明,API介接说明,API directions
前端,首頁,ESG健檢,ESG健检,ESG Evaluation
後端,其他通用,「活動係數」,「活动系数」,“emissions factor”
前端,通用,ESG健檢,,ESG evaluation
前端,永續分析,人,人,Person
後端,溫盤模組相關,"HFC-1345zfc，2,2,4,4,4-五氟 1-丁烯，C2F5CH=CH2","HFC-1345zfc，2,2,4,4,4-五氟 1-丁烯，C2F5CH=CH2",HFC-1345zfc
後端,環境部設備原燃物料細項,"HFC-1345zfc，2,2,4,4,4-五氟 1-丁烯，C2F5CH=CH2","HFC-1345zfc，2,2,4,4,4-五氟 1-丁烯，C2F5CH=CH2","HFC-1345zfc, 2,2,4,4,4-pentafluoro-1-butene, C2F5CH=CH2"
後端,溫盤模組相關,"HFC-236ea，1,1,1,2,3,3-六氟丙烷，CHF2CHFCF3","HFC-236ea，1,1,1,2,3,3-六氟丙烷，CHF2CHFCF3","HFC-236ea,1,1,1,2,3,3-Hexafluoropropane, CHF2CHFCF3"
後端,環境部設備原燃物料細項,"HFC-236ea，1,1,1,2,3,3-六氟丙烷，CHF2CHFCF3","HFC-236ea，1,1,1,2,3,3-六氟丙烷，CHF2CHFCF3","HFC-236ea，1,1,1,2,3,3-Hexafluoropropane，CHF2CHFCF3"
後端,系統資料庫(廢棄物代碼重複),一般事業廢棄物 (D類),一般事业废弃物 (D类),General industrial waste(class D)
後端,用戶表單控制項,一般事業廢棄物 (D類),一般事业废弃物 (D类),General industrial waste (class D)
後端,鑑別準則相關,二氧化碳滅火器,二氧化碳灭火器,CO2 Fire Extinguisher
後端,碳足跡模組相關,二氧化碳滅火器,二氧化碳灭火器,CO2 fire extinguisher
後端,權限相關,ESG健檢,ESG健检,ESG evaluation
前端,永續分析,人,人,Person
前端,無法判斷,人,人,Person
後端,溫盤匯出功能,上游租賃,上游租赁,Upstream leased assets
前端,通用,人,人,Person
前端,通用,人,人,Person
後端,單位,人,人,person
後端,永續分析,人,人,People
後端,溫盤模組相關,上游租賃,上游租赁,Upstream leasing
後端,鑑別準則相關,上游租賃,上游租赁,Upstream Leasing
後端,動態表單控制項,一般事業廢棄物 (D類),一般事业废弃物 (D类),General industrial waste (class D)
前端,測試,山姆,山姆,Sam
